province,avg_fire_probability,predicted_fire_count,avg_days_to_breach,latitude,longitude,avg_rainfall,avg_lst,risk_score,risk_category
SUMATERA SELATAN,0.35778640141895063,229,23.37296943231441,-3.4560985272272693,102.00807191983372,1225.9422959154779,28.861883957873854,99.99999031035442,Critical
JAMBI,0.2989558293571553,183,22.88062841530055,-2.0815070226542014,101.00019308577743,1140.8188529259965,28.333253345536985,78.27767053426821,Critical
RIAU,0.28785193431741257,102,22.974705882352943,2.2902504343091312,100.01179545541223,1036.1859511290072,29.289730539892624,73.076151123121,High
KALIMANTAN BARAT,0.2698636107802043,117,22.407521367521365,-2.8812279176334203,108.00812504842253,1422.7498020598598,28.070051359584745,68.37045670567943,High
KALIMANTAN TENGAH,0.2544014466594216,126,26.169444444444444,-2.3927699982783075,111.0002415508908,1312.642907573043,28.010657587737775,45.86991325233439,Moderate
SUMATERA BARAT,0.1914769096051338,34,22.410294117647055,0.9522323803312809,99.05666662665088,1175.0927396376765,27.33629568282849,34.46358697150077,Moderate
SUMATERA UTARA,0.19263958149212923,50,23.7428,3.6616682615380065,97.0195711620435,961.2245873460373,27.169055814328043,30.29171193651097,Moderate
KALIMANTAN TIMUR,0.19018731864595906,49,25.04530612244898,-2.3338146885323336,115.01373748130486,1118.883277501845,27.44513196129377,25.254366258423207,Moderate
ACEH,0.15591327062002927,18,30.555555555555557,5.21737935407836,95.28872683348835,950.2059557625741,26.32991458513376,1.1163456184071783,Low
KALIMANTAN UTARA,0.12192057851033537,29,24.445689655172412,3.3812356149322578,116.00184553926806,1043.623615087593,26.372106836730786,0.0,Low
