province,avg_fire_probability,predicted_fire_count,avg_days_to_breach,latitude,longitude,avg_rainfall,avg_lst,risk_score,risk_category
SUMATERA SELATAN,0.3609872475996784,257,23.18597496327308,-3.4560985272272693,102.00807191983372,1225.9422959154779,28.861883957873854,99.99998955185059,Critical
RIAU,0.3218273906614992,140,22.74070375749819,2.2902504343091312,100.01179545541223,1036.1859511290072,29.289730539892624,85.19323428312727,Critical
JAMBI,0.3145861326446361,223,22.337733589192418,-2.0815070226542014,101.00019308577743,1140.8188529259965,28.333253345536985,84.47366666458791,Critical
KALIMANTAN BARAT,0.2834605284542093,126,21.889430654671102,-2.8812279176334203,108.00812504842253,1422.7498020598598,28.070051359584745,72.6304948276688,High
SUMATERA BARAT,0.23588331694209072,70,20.868637958387257,0.9522323803312809,99.05666662665088,1175.0927396376765,27.33629568282849,55.428574063336626,High
KALIMANTAN TENGAH,0.2764722242017695,144,26.726781939057478,-2.3927699982783075,111.0002415508908,1312.642907573043,28.010657587737775,45.41030676284888,Moderate
SUMATERA UTARA,0.22057794213443205,78,22.22599342476803,3.6616682615380065,97.0195711620435,961.2245873460373,27.169055814328043,41.02139840903983,Moderate
KALIMANTAN TIMUR,0.21858426227172284,56,25.362025120674765,-2.3338146885323336,115.01373748130486,1118.883277501845,27.44513196129377,27.37864176175671,Moderate
ACEH,0.1955652200402846,35,29.051596155857254,5.21737935407836,95.28872683348835,950.2059557625741,26.32991458513376,7.663887199320236,Low
KALIMANTAN UTARA,0.14799904416322085,44,24.674175932182763,3.3812356149322578,116.00184553926806,1043.623615087593,26.372106836730786,0.0,Low
