province,avg_fire_probability,predicted_fire_count,avg_days_to_breach,latitude,longitude,avg_rainfall,avg_lst,risk_score,risk_category
SUMATERA SELATAN,0.33533928,174,23.649471041799963,-3.4560985272272693,102.00807191983372,1225.9422959154779,28.861883957873854,99.99998899293898,Critical
KALIMANTAN BARAT,0.30912575,141,22.652542046621335,-2.8812279176334203,108.00812504842253,1422.7498020598598,28.070051359584745,94.13142783272173,Critical
RIAU,0.3105442,133,23.50380385549445,2.2902504343091312,100.01179545541223,1036.1859511290072,29.289730539892624,89.35550108389585,Critical
JAMBI,0.30266097,178,23.185441424337665,-2.0815070226542014,101.00019308577743,1140.8188529259965,28.333253345536985,87.6099503172174,Critical
KALIMANTAN TENGAH,0.28169438,153,26.562113281948115,-2.3927699982783075,111.0002415508908,1312.642907573043,28.010657587737775,60.65581720576189,High
KALIMANTAN TIMUR,0.24546479,86,25.895374408988065,-2.3338146885323336,115.01373748130486,1118.883277501845,27.44513196129377,48.26162905617327,Moderate
SUMATERA UTARA,0.21316648,81,23.827207871425298,3.6616682615380065,97.0195711620435,961.2245873460373,27.169055814328043,42.39761097103429,Moderate
SUMATERA BARAT,0.19479987,46,21.956585510917332,0.9522323803312809,99.05666662665088,1175.0927396376765,27.33629568282849,41.57978956866401,Moderate
KALIMANTAN UTARA,0.14477366,64,25.000034630298615,3.3812356149322578,116.00184553926806,1043.623615087593,26.372106836730786,7.665834051160506,Low
ACEH,0.1479526,24,29.04168176651001,5.21737935407836,95.28872683348835,950.2059557625741,26.32991458513376,0.0,Low
